Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Djibouti,"Egypt, Arab Rep.",Equatorial Guinea,Eswatini,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2010,2.30036912415828,-3.2272111824499996,0.0535070877359353,0.218379837568309,0.0388707013569488,0.000780582003631939,0.116200563572313,0.536265313198885,,0.00835040672212106,2.7423,1.52222864633912,0.0365010325172602,6.3856,,0.135660413694601,0.28827156825074396,0.523939106191844,0.0371408878131734,2.52735,-0.10135,0.0262402,0.178064606752108,0.00950866885923675,2.06468099423868,1.784,0.9122871798355691,0.0970105586926789,0.371932364723095,0.016753,0.12868531,1.24062585911404,1.25845309682496,0.28752897444129,0.796636157883319,6.02625309134715,0.21619255681733998,0.0506,0.272092888456612,0.159795375,0.23840420934276102,3.69327171548139,2.0637309976621303,1.8132,0.125064101838993,1.33449769456476,0.543872727272728,1.7293,0.122586666666667
2011,2.5712370246851703,-3.02377096583688,0.16130239082190298,0.293208060474684,0.14384551232713802,0.0033549991805921996,0.10224638222379599,0.653266626571786,,0.0231184405401983,1.59602430385686,0.298678855105983,0.0790002306986794,-0.4827,,0.0987083217157849,0.628624805998665,1.12353691898497,0.0360771360813735,3.247588,0.95606,0.025024047388377,1.4504747570818,0.0611733192085146,2.08600693333333,0.131,0.815534454532063,0.8127517698486331,0.556875894544289,0.001463,0.15781021,2.52136208065559,3.66393711845157,0.803600584603823,1.06718613605029,8.8410620507726,0.112127535812557,0.0321523485469533,0.338661995579347,0.143240665103455,0.950477791380298,4.13928912268737,1.73437699448388,1.22936101844368,0.728710878416044,0.432666011578487,0.894293858,1.1085,0.3443
2012,1.5004024528635,-1.46462799088284,0.281548556296849,0.146084155211847,0.32928197602832104,0.000604919651526489,0.128009964769677,0.527363935614182,,0.0103751974614675,2.89160780909542,-0.0692499482173565,0.109998255692912,2.7977,,0.0264800023332333,0.278562822162861,0.6773273655455571,0.0411834577698366,3.29452,0.60556,0.00662491719274534,1.3801736619426501,0.056652703213514996,2.30998124125,2.509,0.8147899347302,-0.00888597621902263,0.397842480253922,1.38609885060853,0.18036606,2.84195437138454,5.63509265861842,1.04155541314223,0.841227436917788,7.06990842793651,0.26961555035029,0.022471527027027,0.276159533004474,0.613208776273067,0.722447405067388,4.6260291224000705,2.31146073975953,1.7996461374344799,0.121511565575361,1.5542691287808001,1.20538848779374,1.7315,0.34985
2013,1.69188670750796,-7.1200174244614,0.360343380324677,0.0671368061634995,0.490403410536841,0.11672713651774899,0.0892974439961387,0.547404749757182,,,1.6975858308062601,1.87885949934966,0.28600446767686405,4.1922,,0.0817901583971155,1.34387602373137,0.324032442445876,0.068340322378848,3.227,0.000189999999999999,0.019639703798381102,1.11882500019331,0.050427512809290996,1.99867536566,0.006,0.565848886014277,0.45136240659584304,0.30794091077401203,1.126004759602,0.16788753,3.36090992436421,6.6974224324601,0.7770736463767169,0.719338470495154,5.56285798746966,0.233763793607834,0.012162344822250901,0.311366768819424,0.057289065622999104,0.42966458013606695,8.23251881562083,1.68788417879722,2.0872613097159802,0.183599248958183,1.05862258218395,1.096,2.0998,0.37305
2014,1.5022061705583798,3.65751466749327,0.405737369105159,0.51518447101724,0.357296974294135,0.0917281054553991,0.180589795413074,0.7258545409148771,,0.00468455867518381,1.4995721524979702,2.89110239712388,0.152998238812521,4.6122,,0.025782635171307102,1.8550521536410698,1.26310904712989,0.0230140920424561,3.36338944444444,-0.07375860366359331,0.0288527276882278,0.82093759836054,0.0944601469805725,0.501870828620424,0.077,0.372872463262776,0.598086538121966,0.144214831237,0.50258983381816,0.14112653,3.5253846124380104,4.998799334356209,0.44558224785942696,0.822967023299916,4.69382863189583,0.313997162787606,0.0264899821283667,0.403098056387863,0.10835544310197,0.37508962851241795,5.79165902009997,1.25128088937784,1.4160880648110001,0.054020342354686,1.02475444357725,1.05856454034685,1.5078,0.4728
2015,-0.537792920921856,10.0282151626394,0.149755663330268,0.378554181530079,0.231901703683869,0.00736044770883191,0.09607147283686779,0.69433673487982,,0.00493669951044481,1.1657200103076701,4.27983919911278,0.143832186404533,6.9252,0.00126638,0.031498094370293,2.626517918313,0.0417077023264655,0.0719760517034138,3.1923205307897002,0.0532724584212994,0.0185754994478127,0.619724465016411,0.11322001039759301,0.232679832473779,0.394799,0.32805930556932,0.287746689246669,0.275525536040377,0.501726765733819,0.09966373,3.25291390235666,3.86835388495,0.8388790627159299,0.529476871090612,3.06416890445333,0.162083820997161,0.0279240591401315,0.40916612581491,0.10589359720331501,0.252435829433901,1.52113994530532,1.72837340343067,1.5060248960109999,0.257860036464441,0.9705218887402031,0.737652140151428,1.58266666666667,0.3992
2016,1.63826395377737,-0.17951761891999998,0.13179085384079,0.142522598297582,0.390622353410172,5.54566186128592e-05,0.126312006101644,0.663893595165465,,0.00356982372997217,0.9323746693809071,0.0506087003526123,0.15999797435305899,8.1068,0.0276592,0.0268520776519874,4.14293749646329,0.0453,0.069830172212844,3.48533336927964,1.6184472602648499,0.023998591370902798,0.469533310683932,0.0792345489131339,0.311699760322875,0.44,0.540842779829334,0.1157,0.356476591902583,0.271134844997291,0.02829411,2.15336390493515,3.1281499286999996,0.358727049605925,0.30133248059252604,3.4532584079847997,0.279747327598381,0.023331087120574797,0.472409799846776,0.06834674392817339,0.138509469264081,2.21530702039541,1.06376753533587,0.86404,-0.046308331617851695,0.6225694821619789,0.625704361867068,0.6628139354204721,0.34301381338
2017,1.23024345087889,-7.39729540918991,0.200902719348051,0.260575129351448,0.0025726903218817702,0.221005514187153,0.11171163373814,0.8144589409276249,,0.00391947302500835,1.04797948255526,0.0449336,0.164929861974668,7.4087,-0.02687302,-0.057647593392990096,4.01715956465434,-0.083709,0.0643385160351372,3.25499,0.57759,0.0156911979520896,1.34608534521692,0.0421687841137567,0.24784298301405,0.11,0.464856589648809,0.0902,0.560747464368764,0.588217194758539,0.08922904,2.6801098562123697,2.31907197147682,0.280476974998847,0.33871071013916,2.4129749162326397,0.274025990659944,0.0342084890333144,0.588292997958708,0.19731124414602,0.413724476112753,2.05857991105235,1.0652984814186701,0.9377,0.0885586995022234,0.8109364828419979,0.802704141008568,1.10751980484533,0.307187738788
2018,1.46611606803411,-6.456076413120329,0.194073683196866,0.285955061932015,0.268414907946195,0.00666353244406275,0.10355053258903299,0.7650920127785259,,0.005672348128580001,1.4075635884242301,0.01361487,0.17,8.1413,-0.20884101,0.0311308266571528,3.3604193686529498,-0.06292833,0.0818050065959045,2.989035,0.35276,0.0205638182174004,0.767761506730644,0.040874071930026595,0.129129754833293,0.2755378,0.612036371422122,0.077012306002161,0.46729539107783996,,0.09841326,3.5443872292782204,1.67806119183106,0.234372724533504,0.466042272996923,0.7752474000030289,0.36619231550624,0.023698321486444903,0.8478415747902159,0.30517239379133304,0.250446053545995,5.56946235015205,1.1357871640494102,0.971576866042756,-0.18097271479572902,0.991385678114219,1.05535335263033,0.40843849170233604,0.71786532224885
2019,1.38120004959264,-4.09847874763755,0.21820787171564202,0.0936071300326021,0.162970140263612,0.030289708912311402,0.122921295022726,1.02477923790889,,0.0043008039663215,1.3509942262053498,-1.4276792570589398,0.17499901531051498,9.0101,0.16602521,0.127970921965401,2.54874342735754,-0.03377911,0.0710833058667937,3.8798314696999996,0.0444,0.0716586803379902,0.469940266776669,0.035732593408811304,0.0866817004596762,0.3765,0.474311425432437,0.0552278316285934,0.859091549188966,-0.883561115825519,0.05770502,1.72082500313095,3.37932913613929,-0.176478261583527,0.717147639398696,2.3050998117035797,0.26317233523,0.0241917995128288,1.0654613440746599,0.257086351804392,0.3424,5.11609844348715,0.8253549923102731,1.21723525241974,0.34569754697143196,0.815012991372017,1.3030050053393198,0.5479679096124019,0.2495
2020,1.14391815962919,-1.86646811307454,0.174019952063051,0.0317926104142283,-0.0987778560144418,0.0212262130415059,0.0676198839199239,0.67518699365287,,0.0038758460805885402,1.4980848078648,-1.98317886650125,0.158230011,5.8518,0.01650144,0.0387876326722704,2.39579988065984,,0.189576190794227,1.87578295346906,0.17635,0.0209897216146962,-0.00540375228986896,0.0280016669222279,0.737967946557703,-0.4872,0.35846714141430197,0.252179040150445,0.536851812897275,0.927916265774285,0.01608766,1.41871311861153,3.18794220714962,-0.150172760720263,0.360653574571153,2.38527766591608,0.15261412095,0.0471121847725813,1.84566527273823,0.0800534814058233,0.1726991784246,3.15355256939325,0.7169397105948799,0.943765261692,-0.0592068200004109,0.623075275921853,1.1914854237197499,0.245205491395466,0.15036
2021,0.869194073014935,-4.35511655271589,0.34598523568003,-0.319055857574533,-0.0799573553390048,0.0223774419094287,0.0914568832590196,0.963531503483345,,0.0040247721820532,1.67767378973561,-0.32020951769602196,0.166750130823032,5.1223,0.22518321,0.11286528826855,4.25944579528263,,0.251822628807366,2.53358646203873,0.19761,0.018529723354594598,0.419719612932137,-0.0123721924621816,0.535582905542481,0.603,0.357536665264704,0.12949708450487998,0.6399441653589589,1.0702525450195801,0.08557393,2.2641486254106997,5.29539610525416,0.84028691580155,0.594829131824509,3.31321,0.211896128856101,0.0590001327402932,2.5881266170069397,0.111955764374216,0.212289192761103,40.658789144938204,0.5228696168559209,1.190507398784,-0.07093927,0.547411353644915,1.64824026265061,0.394217415177069,0.23748036775999998
2022,0.240013321325058,-6.59865265209389,0.37598890222379305,0.709624140359236,0.669738240850165,0.0252859883657221,0.122015528984869,0.925681548563252,,0.00412866747538991,1.40937384176263,0.02490959,0.187022847623808,11.3999,-0.00068776,0.013350248303289,3.66999133217486,,0.231488,1.4284117371329998,0.6583,0.0216580038438931,0.791581760055161,-0.007820069160540531,0.960192468672831,0.05,0.46784866423550203,0.198726519122695,0.715469994852307,1.4016204618227401,0.03693747,2.2943560591733396,3.02217556523802,1.05604350265038,0.965976158959644,-0.18679242893092798,0.30510186338,0.126744195956601,0.07010504,0.189827389279516,0.29397057280400996,9.23899082845043,0.5735044947760001,1.437575169471,-0.05426609,0.643213141178691,2.95294168783428,-0.0651188628223029,0.336761
2023,1.21577662675897,-2.11963218551477,0.04895592,0.6654175801264179,0.00517427,0.0341279835378171,0.158735894913156,-0.10913329,,0.005352754894328741,2.3752588865199797,0.02636447,0.137009451,9.8406,,0.028132551483073,3.26296628351939,,0.208372222211356,1.31931561467989,1.30798,0.00025747,0.728766608605276,-0.0256478171357355,0.08737283,-0.16418333,0.1192641,0.203252807529971,0.02322055,0.848351729722353,0.01617064,1.09598120598255,2.6835062709207502,2.2943761885104297,0.04038977,1.87252053004695,0.459166412257306,-0.00364763,0.0913317,0.23970629420189699,0.20180056127941098,3.44233150638971,,1.62703450704954,-0.06032362,0.727083940246083,2.99118381332196,0.08590733045772751,0.557873
